Designator,Mid X,Mid Y,Layer,Rotation
C1,33.34,26.19,Top,90
C2,26.35,11.43,Top,180
C3,26.35,26.19,Top,90
C4,20.8,12.07,Top,180
C5,25.24,20,Top,0
C6,51.75,6.67,Top,90
C7,44.93,16.67,Top,90
C8,14.76,20,Top,0
C9,17.78,8.57,Top,180
C11,42.7,16.67,Top,90
C12,39.37,16.67,Top,90
C13,36.99,16.67,Top,90
C14,44.93,21.59,Top,90
C15,36.99,21.61,Top,270
C16,55.09,16.67,Top,90
C17,52.86,16.67,Top,90
C18,49.53,16.67,Top,90
C25,47.15,16.67,Top,90
C26,55.09,21.59,Top,90
C27,47.15,21.61,Top,270
C28,92.39,6.67,Top,90
C29,85.57,16.67,Top,90
C30,83.34,16.67,Top,90
C31,80.01,16.67,Top,90
C32,77.63,16.67,Top,90
C33,85.57,21.59,Top,90
C34,77.63,21.61,Top,270
C35,95.73,16.67,Top,90
C36,93.5,16.67,Top,90
C37,90.17,16.67,Top,90
C38,87.79,16.67,Top,90
C39,95.73,21.59,Top,90
C41,87.79,21.61,Top,270
C42,72.07,6.67,Top,90
C43,65.25,16.67,Top,90
C44,63.02,16.67,Top,90
C45,59.69,16.67,Top,90
C46,57.31,16.67,Top,90
C47,65.25,21.59,Top,90
C48,57.31,21.61,Top,270
C49,75.41,16.67,Top,90
C50,73.18,16.67,Top,90
C51,69.85,16.67,Top,90
C52,67.47,16.67,Top,90
C53,75.41,21.59,Top,90
C54,67.47,21.61,Top,270
C55,112.71,6.67,Top,90
C56,105.89,16.67,Top,90
C57,103.66,16.67,Top,90
C58,100.33,16.67,Top,90
C59,97.95,16.67,Top,90
C60,105.89,21.59,Top,90
C61,97.95,21.61,Top,270
C62,116.05,16.67,Top,90
C63,113.82,16.67,Top,90
C64,110.49,16.67,Top,90
C65,108.11,16.67,Top,90
C66,116.05,21.59,Top,90
C67,108.11,21.61,Top,270
C68,153.35,6.67,Top,90
C69,146.53,16.67,Top,90
C70,144.3,16.67,Top,90
C71,140.97,16.67,Top,90
C72,138.59,16.67,Top,90
C73,146.53,21.59,Top,90
C74,138.59,21.61,Top,270
C75,156.69,16.67,Top,90
C76,154.46,16.67,Top,90
C77,151.13,16.67,Top,90
C78,148.75,16.67,Top,90
C79,156.69,21.59,Top,90
C80,148.75,21.61,Top,270
C81,133.03,6.67,Top,90
C82,126.21,16.67,Top,90
C83,123.98,16.67,Top,90
C84,120.65,16.67,Top,90
C85,118.27,16.67,Top,90
C86,126.21,21.59,Top,90
C87,118.27,21.61,Top,270
C88,136.37,16.67,Top,90
C89,134.14,16.67,Top,90
C90,130.81,16.67,Top,90
C91,128.43,16.67,Top,90
C92,136.37,21.59,Top,90
C93,128.43,21.61,Top,270
C107,173.67,6.67,Top,90
C108,166.85,16.67,Top,90
C109,164.62,16.67,Top,90
C110,161.29,16.67,Top,90
C111,158.91,16.67,Top,90
C112,166.85,21.59,Top,90
C113,158.91,21.61,Top,270
C114,177.01,16.67,Top,90
C115,174.78,16.67,Top,90
C116,171.45,16.67,Top,90
C117,169.07,16.67,Top,90
C118,177.01,21.59,Top,90
C119,169.07,21.61,Top,270
IC1,46.04,8.89,Top,180
IC3,40.96,21.11,Top,90
IC5,29.85,26.04,Top,90
IC6,51.12,21.11,Top,90
IC7,86.68,8.89,Top,180
IC8,20,20,Top,90
IC9,81.6,21.11,Top,90
IC10,91.76,21.11,Top,90
IC11,66.36,8.89,Top,180
IC12,61.28,21.11,Top,90
IC13,71.44,21.11,Top,90
IC14,107,8.89,Top,180
IC15,101.92,21.11,Top,90
IC16,112.08,21.11,Top,90
IC17,147.64,8.89,Top,180
IC18,142.56,21.11,Top,90
IC19,152.72,21.11,Top,90
IC20,127.32,8.89,Top,180
IC21,122.24,21.11,Top,90
IC22,132.4,21.11,Top,90
IC26,167.96,8.89,Top,180
IC27,162.88,21.11,Top,90
IC28,173.04,21.11,Top,90
R1,25.72,18.1,Top,180
R2,28.89,19.05,Top,180
R3,28.89,21.27,Top,180
R4,25.72,21.91,Top,180
R5,11.11,21.27,Top,0
R6,14.29,21.91,Top,0
R7,11.11,19.05,Top,0
R8,14.29,18.1,Top,0
R9,28.89,16.83,Top,0
R10,32.38,20,Top,270
R11,7.94,15.72,Top,0
R12,7.94,18.1,Top,180
U$2,54.93,27.3,Top,0
U$3,95.57,27.3,Top,0
U$4,159.07,27.3,Top,0
X6,10.48,27.3,Top,0
X10,128.59,27.3,Top,0
IC2-0,20,14.13,Top,180
IC2-1,20,6.51,Top,180
