Comment,Designator,Footprint,LCSC Part #
1.2M,R93,R0603,C325657
1.5M,R130 R150,R0402,C138034
1N41480805,D1 D2,D0805,C2128
1k,R128 R148 R149,R0402,C11702
1.2k,R145,R0603,C22765
1.5k,R94 R106 R108,R0603,C22843
1.8k,R122,R0603,C4177
1n,C56,C0402,C1523
1n,C55,C0603,C507408
1u,C59,C0402,C694272
1u,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C16 C17,C0402,C694272
1u,C18 C19 C20 C21 C22 C23,C0402,C694272
1u,C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C46 C47,C0603,C15849
1u,C48 C50 C57,C0402,C694272
2.7k,R151,R0603,C13167
2n3904,T2,SOT23-BEC,C20526
3.3k,R71 R116,R0603,C22978
4.99k,R124,R0603,C23046
4.7k,R72 R118,R0603,C23162
5.6k,R140,R0603,C23189
5n,C13 C14 C15,C0402,C1538
6.8k,R133,R0603,C23212
8.2k,R84 R87 R97 R100,R0603,C25981
10k,R1,R0402,C25744
10k,R88 R107 R113 R117 R119,R0603,C25804
10k,R120 R123 R125,R0402,C25744
10n,C53 C54,C0402,C15195
10p,C49,C0402,C32949
15k,R91,R0603,C22809
18k,R115 R132,R0603,C25810
20k,R126,R0402,C25765
22k,R3 R6 R9 R12 R15 R18 R21 R24 R27 R30 R33 R36,R0402,C25768
24k,R109 R139,R0603,C23352
30k,R144 R146 R147,R0402,C352437
33k,R2 R5 R8 R11 R14 R17 R20 R23 R26 R29 R32 R35 R78,R0402,C25779
33p,C24 C25 C26 C27,C0402,C1562
47k,R4 R7 R10 R13 R16 R19 R22 R25 R28 R31 R34 R37 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R77 R79 R80 R81 R82 R121,R0402,C25792
47p,C30,C0805,C14857
68k,R85 R95 R98 R101 R102 R103 R104 R129,R0603,C23231
75k,R111,R0603,C23242
79L05F,IC23,SOT89, C2891834
82k,R112,R0603,C23254
100R,R38 R39 R40,R0402,C25076
100k,R90 R105,R0603,C25803
100k,R135 R136,R0402,C25741
100n,C52,C0402,C307331
100n,C58,C0402,C307331
105k,R110,R0603,C141685
150k,R143,R0603,C22807
200k,R134 R137,R0603,C25811
220k,R73 R74 R75 R76 R114,R0603,C22961
220p,C51,C0402,C1530
270k,R141,R0402,C416506
270p,C28 C29 C44 C45,C0402,C541426
330k,R89,R0603,C23137
470R,R127 R131,R0402,C25117
470k,R142,R0603,C23178
560R,R83 R86,R0603,C23204
560R,R92,R0805,C28636
560R,R96 R99,R0603,C23204
AS3364D,DA1 DA2 DA3,DIL16,C72130
BC857BS,T1,SOT363,C8654
CEM3340J,IC21,DIL16,C72130
DG412-J,IC8 IC9 IC10 IC11,DIL16,C72130
DG419DJD,IC18,SO08,C6581
LM13700SL,IC13 IC16 IC17,SO16-NARROW-J,C174050
MA16-1JP-FEMALE,U$2 U$3,SIP-PIN16-1J,C7499334
MA16-1JP-FEMALE-ANGLED,U$6,SIP-PIN16-1J,C2897398
MCP9700TT,IC20,SOT23J,C127949
MMBT3906LT1SMD,Q1 Q2 Q3,SOT23-BEC,C2143
PCA9539PW,IC1,TSSOP24,C2687996
TL072JT,IC3 IC5 IC6 IC7 IC12 IC14 IC15 IC19,TSSOP8,C90748
TL074JT,IC2 IC4 IC22,TSSOP14,C2652279
