Designator,Mid X,Mid Y,Layer,Rotation
C1,3.49,25.4,Top,90
C2,19.37,12.7,Top,270
C3,20,25.4,Top,90
C4,31.43,12.7,Top,90
C5,39.05,25.4,Top,90
C6,55.25,12.7,Top,270
C7,57.47,25.4,Top,90
C8,34.29,25.4,Top,270
C9,11.11,6.35,Top,90
C10,13.34,6.35,Top,90
C11,8.89,6.35,Top,90
C12,57.47,12.7,Top,90
C13,28.58,59.69,Top,270
C14,23.5,59.69,Top,270
C15,21.91,19.05,Top,270
C16,4.76,19.05,Top,270
C17,41.27,19.05,Top,270
C18,55.25,25.4,Top,90
C19,18.41,59.69,Top,270
C20,13.34,59.69,Top,270
C21,16.83,51.44,Top,90
C22,24.45,51.44,Top,270
C23,14.61,25.4,Top,90
C24,51.44,25.4,Top,90
C25,35.56,20.96,Top,90
C26,24.45,47.63,Top,270
C27,42.55,58.42,Top,90
C28,42.55,62.23,Top,90
C29,56.2,57.79,Top,270
C30,30.8,8.26,Top,180
C31,48.26,43.18,Top,270
C32,51.44,39.69,Top,270
C33,53.66,43.5,Top,270
C34,12.38,47.63,Top,90
C35,9.84,47.63,Top,90
C36,14.61,12.7,Top,90
C37,51.44,12.7,Top,90
C38,35.56,17.14,Top,90
C39,48.26,47.63,Top,270
C40,56.2,62.87,Top,270
C41,53.66,47.31,Top,270
C42,13.97,51.44,Top,270
C43,6.35,66.04,Top,180
C44,12.07,66.04,Top,0
C45,53.5,39.69,Top,270
D1,40.01,12.7,Top,270
D2,41.59,12.7,Top,90
D3,41.59,6.19,Top,270
D4,51.12,51.75,Top,90
D5,28.58,51.75,Top,0
IC1,1.91,19.05,Top,0
IC2,19.05,19.05,Top,0
IC3,11.43,19.05,Top,0
IC4,28.58,19.05,Top,0
IC5,38.42,19.05,Top,0
IC6,56.83,19.05,Top,0
IC7,48.26,19.05,Top,0
IC8,6.19,6.35,Top,90
IC9,20.64,49.53,Top,180
IC10,39.69,45.4,Top,0
IC11,38.42,60.33,Top,0
IC12,50.8,45.4,Top,0
IC13,30.8,5.4,Top,-90
IC14,49.53,60.33,Top,0
IC15,11.11,52.71,Top,-90
Q1,37.78,6.35,Top,0
Q2,54.29,51.75,Top,180
Q3,28.58,48.58,Top,90
R1,24.45,12.7,Top,90
R2,1.27,12.7,Top,90
R3,3.49,12.7,Top,90
R4,5.71,25.4,Top,270
R5,1.27,25.4,Top,270
R6,10.16,12.7,Top,270
R7,12.38,12.7,Top,270
R8,7.94,12.7,Top,270
R9,12.38,25.4,Top,270
R10,10.16,25.4,Top,270
R11,7.94,25.4,Top,270
R12,28.1,63.18,Top,0
R13,23.81,63.18,Top,0
R14,18.73,63.18,Top,0
R15,13.97,63.18,Top,0
R16,28.1,65.41,Top,0
R17,5.4,59.69,Top,270
R18,10.16,56.52,Top,0
R19,16.83,12.7,Top,270
R20,26.67,12.7,Top,90
R21,29.21,12.7,Top,90
R22,5.71,12.7,Top,90
R23,10.48,63.18,Top,180
R24,35.56,12.7,Top,90
R25,37.78,12.7,Top,270
R26,36.83,25.4,Top,270
R27,48.9,12.7,Top,270
R28,46.36,12.7,Top,270
R29,43.82,12.7,Top,270
R30,48.9,25.4,Top,270
R31,46.36,25.4,Top,270
R32,43.82,25.4,Top,270
R33,29.21,25.4,Top,270
R34,26.99,25.4,Top,90
R35,31.75,25.4,Top,270
R36,41.27,25.4,Top,270
R37,24.13,25.4,Top,270
R38,7.62,59.69,Top,90
R39,5.71,63.18,Top,0
R40,22.54,43.5,Top,180
R41,18.73,43.5,Top,0
R42,21.59,40.32,Top,90
R43,5.4,47.63,Top,90
R44,5.4,52.71,Top,90
R45,16.83,47.63,Top,270
R46,20.64,54.61,Top,0
R47,7.62,47.63,Top,270
R48,16.19,56.52,Top,180
R49,38.42,50.8,Top,0
R50,38.42,65.41,Top,0
R51,41.59,65.41,Top,180
R52,35.24,65.41,Top,0
R53,35.24,54.93,Top,0
R54,38.42,54.93,Top,0
R55,41.59,54.93,Top,180
R56,35.24,50.8,Top,0
R57,24.77,6.35,Top,270
R58,41.59,50.8,Top,180
R59,22.54,6.35,Top,90
R60,44.77,65.41,Top,180
R61,18.1,6.35,Top,270
R62,1.27,6.51,Top,90
R63,32.07,65.41,Top,0
R64,20.32,6.35,Top,270
R65,15.56,6.35,Top,90
R66,44.77,54.93,Top,180
R67,32.07,54.93,Top,0
R68,36.51,39.37,Top,180
R69,32.07,47.94,Top,0
R70,51.75,65.41,Top,180
R71,48.26,65.41,Top,180
R72,48.58,39.37,Top,180
R73,15.56,43.5,Top,0
R74,23.65,40.32,Top,270
R75,25.72,40.32,Top,90
R76,28.26,40.32,Top,270
R77,56.83,65.41,Top,0
R78,32.07,50.8,Top,0
R79,33.02,40.32,Top,90
R80,32.38,63.18,Top,0
R81,19.53,40.32,Top,90
T1,3.49,6.51,Top,270
T2,11.11,59.69,Top,-90
T3,16.19,59.69,Top,-90
T4,21.27,59.69,Top,-90
T6,7.94,52.71,Top,90
T7,26.35,59.69,Top,-90
T8,31.43,59.69,Top,-90
U$3,28.58,1.27,Top,0
U$6,38.73,34.61,Top,0
