Comment,Designator,Footprint,LCSC Part #
MA22N-1J,X1 X2,MA22N-1J,C725954
1M,R38,R0402,C327799
1N4148,D9 D10,SOD323J,C2128
1N41480805,D1 D2 D3 D4 D5 D6 D7 D8,D0805,C2128
1k,4 33 42 90,R0603,C21190
1k,R27 R33 R34 R43 R45,R0402,C11702
1.2k,19 62 R16 R17,R0603,C22765
1.5k,R1 R2,R0402,C25867
1u,C8 C9 C10 C11 C12 C13 C15 C16 C17 C18 C19 C27 C28 C29 C30 C31 C32 C33 C35 C36 C37 C38 C39 C49 C50 C51 C52,C0402,C694272
2.7k,R5 R6 R13 R14,R0603,C13167
2.2n,C48,C0603,C1604
2n3904,T1 T2,SOT23-BEC,C20526
3.3k,R31,R0402,C25890
3.3n,C46,C0603,C1613
3p,C7 C26,C0603,C318663
4.7k,R32,R0402,C25900
6.8k,R8 R12 R15,R0603,C23212
8.2k,R41,R0603,C25981
10k,R22 R30 R44,R0402,C25744
10n,C45,C0402,C15195
10p,C1 C2 C20 C21,C0603,C1634
12k,R7 R11,R0402,C25752
15k,20 21 63 86,R0603,C22809
15k,R18 R19 R20 R21 R35 R48,R0402,C25756
20k,25 28 29 30 67 70 71 72,R0603,C4184
20k,R39 R40,R0402,C25765
22k,22 64,R0603,C31850
22n,C44,C0402,C1532
24k,26 27 68 69,R0603,C23352
27k,10 11 31 53 54 85,R0603,C22967
30k,9 84,R0603,C22984
30p,C3 C4 C22 C23,C0603,C1658
33k,32 48 82 87,R0603,C4216
33k,R26 R42 R46,R0402,C25779
47u,C53 C54,C1206,C22367835
49.9k,38 41 44 46 74 77 78 80,R0603,C23184
50k,15 58,R0603,C23184
68k,3 37 R23 R25,R0603,C23231
100k,2 6 7 12,R0603,C25803
100k,13,R0402,C25741
100k,14 16 23,R0603,C25803
100k,24 34,R0402,C25741
100k,35,R0603,C25803
100k,36,R0402,C25741
100k,39 47 49 50 51 55,R0603,C25803
100k,56,R0402,C25741
100k,57 59 65,R0603,C25803
100k,66,R0402,C25741
100k,73 75 81 83 89,R0603,C25803
100k,91 92 R28 R37,R0402,C25741
100n,C43,C0402,C307331
100n,C5 C6 C24 C25,C0603,C14663
120k,40 45 76 79,R0603,C25808
150k,18 61,R0603,C22807
180k,R3 R4,R0402,C323674
200k,5 8 17 43 52 60,R0603,C25811
200k,R29,RTRIM3296W,C118942
220k,R24,R0603,C22961
220n,C47,C0402,C16772
300k,R36,R0603,C23024
470n,C40 C41 C42,C0603,C1623
500R,R9 R10,RTRIM3296X,C330441
510R,1 88,R0603,C23193
510R,R47 R49,R0402,C25123
820p,C14 C34,C0603,C519567
4013T,IC5 IC10,TSSOP14,C406860
LM311D,IC6 IC12,SO08,C12597
LM13700SL,IC14,SO16-NARROW-J,C174050
MA16-1JP-ANGLED,U$3 U$4 U$5 U$6,SIP-PIN16-1J,C2894958
MC1496DR2G,U1,SO14,C7295
MMBT3906,Q1,SOT23-BEC,C2143
TL072JT,IC4 IC11,TSSOP8,C90748
TL074JT,IC1 IC2 IC3 IC7 IC8 IC9 IC13 IC15,TSSOP14,C2652279
