Designator,Mid X,Mid Y,Layer,Rotation
1,50.8,18.1,Top,270
2,50.01,5.4,Top,270
3,4.6,18.1,Top,270
4,1.27,5.4,Top,270
5,3.49,5.4,Top,270
6,8.1,5.4,Top,90
7,2.22,13.97,Top,0
8,2.22,11.75,Top,180
9,14.29,8.89,Top,270
10,10.48,5.4,Top,270
11,12.54,5.4,Top,90
12,10.79,14.64,Top,90
13,8.73,18.1,Top,90
14,13.02,14.61,Top,90
15,15.24,18.1,Top,90
16,15.24,14.61,Top,270
17,17.62,18.1,Top,270
18,20.8,18.1,Top,90
19,27.46,18.1,Top,90
20,29.69,18.1,Top,270
21,17.46,5.4,Top,90
22,23.02,14.61,Top,270
23,20.8,5.4,Top,90
24,23.02,5.4,Top,270
25,37.62,18.1,Top,90
26,44.29,18.1,Top,270
27,45.56,5.4,Top,90
28,47.78,5.4,Top,90
29,42.07,18.1,Top,90
30,43.34,5.4,Top,270
31,15.08,5.4,Top,270
32,37.94,5.48,Top,270
33,52.23,5.4,Top,90
34,6.35,19.37,Top,90
35,37.94,8.89,Top,270
36,7.62,19.37,Top,90
37,4.6,47.31,Top,270
38,35.4,18.1,Top,270
39,25.24,14.61,Top,270
40,31.91,18.1,Top,270
41,29.69,14.61,Top,270
42,1.27,34.61,Top,270
43,3.49,34.61,Top,270
44,29.69,8.89,Top,90
45,27.46,5.4,Top,270
46,29.69,5.4,Top,270
47,25.24,8.89,Top,90
48,35.4,5.4,Top,270
49,31.91,5.4,Top,270
50,8.1,34.61,Top,90
51,2.22,43.18,Top,0
52,2.22,40.96,Top,180
53,10.48,34.61,Top,270
54,12.54,34.61,Top,90
55,10.79,43.85,Top,90
56,8.73,47.31,Top,90
57,13.02,43.82,Top,90
58,15.24,47.31,Top,90
59,15.24,43.82,Top,270
60,17.62,47.31,Top,270
61,20.8,47.31,Top,90
62,27.46,47.31,Top,90
63,29.69,47.31,Top,270
64,23.02,43.82,Top,270
65,20.8,34.61,Top,90
66,23.02,34.61,Top,270
67,37.62,47.31,Top,90
68,44.29,47.31,Top,270
69,45.56,34.61,Top,90
70,47.78,34.61,Top,90
71,42.07,47.31,Top,90
72,43.34,34.61,Top,270
73,37.94,38.1,Top,270
74,35.4,47.31,Top,270
75,25.24,43.82,Top,270
76,31.91,47.31,Top,270
77,29.69,43.82,Top,270
78,29.69,38.1,Top,90
79,27.46,34.61,Top,270
80,29.69,34.61,Top,270
81,25.24,38.1,Top,90
82,35.4,34.61,Top,270
83,31.91,34.61,Top,270
84,14.29,38.1,Top,270
85,15.08,34.61,Top,270
86,17.46,34.61,Top,90
87,37.94,34.69,Top,270
88,50.8,47.31,Top,270
89,50.01,34.61,Top,270
90,52.23,34.61,Top,90
91,6.35,48.58,Top,90
92,7.62,48.58,Top,90
C1,41.12,5.4,Top,270
C2,39.85,18.1,Top,90
C3,27.46,14.61,Top,270
C4,27.46,8.89,Top,90
C5,52.86,18.1,Top,270
C6,54.45,5.4,Top,90
C7,2.22,9.53,Top,180
C8,48.74,16.19,Top,0
C9,6.35,16.35,Top,90
C10,19.21,6.83,Top,90
C11,6.35,6.83,Top,90
C12,19.21,16.67,Top,90
C13,33.66,16.67,Top,90
C14,46.51,18.1,Top,90
C15,39.05,14.13,Top,270
C16,33.66,6.83,Top,90
C17,43.5,9.37,Top,270
C18,43.5,14.13,Top,270
C19,48.9,7.46,Top,180
C20,41.12,34.61,Top,270
C21,39.85,47.31,Top,90
C22,27.46,43.82,Top,270
C23,27.46,38.1,Top,90
C24,52.86,47.31,Top,270
C25,54.45,34.61,Top,90
C26,2.22,38.73,Top,180
C27,33.66,36.04,Top,90
C28,19.21,36.04,Top,90
C29,6.35,36.04,Top,90
C30,48.74,45.4,Top,0
C31,6.35,45.56,Top,90
C32,19.21,45.88,Top,90
C33,33.66,45.88,Top,90
C34,46.51,47.31,Top,90
C35,39.05,43.34,Top,270
C36,43.5,38.58,Top,270
C37,43.5,43.34,Top,270
C38,48.9,36.67,Top,180
C39,38.1,68.9,Top,90
C40,18.41,62.55,Top,90
C41,14.13,75.41,Top,270
C42,18.89,74.45,Top,90
C43,27.62,73.98,Top,270
C44,26.35,73.98,Top,270
C45,25.08,73.98,Top,270
C46,26.99,68.9,Top,90
C47,26.35,63.66,Top,270
C48,22.54,62.55,Top,270
C49,18.1,69.53,Top,0
C50,18.1,68.26,Top,180
C51,55.25,74.61,Top,90
C52,54.13,63.98,Top,0
C53,52.07,76.52,Top,0
C54,52.07,74.3,Top,0
D1,10.79,18.1,Top,90
D2,13.02,18.1,Top,90
D3,23.02,18.1,Top,270
D4,25.24,18.1,Top,90
D5,10.79,47.31,Top,90
D6,13.02,47.31,Top,90
D7,23.02,47.31,Top,270
D8,25.24,47.31,Top,90
D9,47.94,74.61,Top,90
D10,46.04,74.61,Top,270
IC1,6.35,11.75,Top,0
IC2,19.21,11.75,Top,0
IC3,33.66,11.75,Top,0
IC4,41.27,11.75,Top,0
IC5,52.39,11.75,Top,0
IC6,46.67,11.75,Top,0
IC7,6.35,40.96,Top,0
IC8,19.21,40.96,Top,0
IC9,33.66,40.96,Top,0
IC10,52.39,40.96,Top,0
IC11,41.27,40.96,Top,0
IC12,46.67,40.96,Top,0
IC13,21.91,68.9,Top,180
IC14,49.85,68.9,Top,0
IC15,41.27,68.9,Top,180
Q1,51.44,61.91,Top,0
R1,37.78,73.66,Top,270
R2,38.89,74.14,Top,90
R3,33.5,73.98,Top,270
R4,33.34,63.82,Top,90
R5,31.91,73.98,Top,90
R6,31.75,63.82,Top,270
R7,32.86,78.42,Top,0
R8,38.26,59.21,Top,180
R9,44.77,78.42,Top,270
R10,44.77,59.37,Top,270
R11,34.61,73.98,Top,90
R12,35.08,57.94,Top,180
R13,36.2,73.98,Top,90
R14,29.05,63.82,Top,90
R15,34.93,63.82,Top,90
R16,36.99,63.82,Top,270
R17,29.21,73.98,Top,90
R18,38.58,63.82,Top,90
R19,40.96,63.82,Top,270
R20,42.07,63.82,Top,270
R21,39.69,63.82,Top,90
