Comment,Designator,Footprint,LCSC Part #
CHIP-LED0603,LED1,CHIP-LED0603,C2286
MA03-2-127J,SV1,MA03-2-127J,C2935951
1.5k,R45,R0603,C22843
1.8k,R145,R0603,C4177
1N4148,D1 D2 D3 D4 D7 D8 D9 D10 D11 D12,SOD323J,C2128
1k,R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18,R0402,C11702
1k,R22 R48 R50 R51 R53,R0603,C21190
1k,R64 R65 R66 R67 R68 R69 R70 R84 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97 R98 R99 R100 R101 R102 R103 R104 R131,R0402,C11702
1k,R144,R0603,C21190
1k,R171 R177,R0402,C11702
1u,C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C47 C48 C49 C50 C51 C52 C53 C54 C55 C56 C57 C60 C61 C62 C63 C64 C65 C72 C73 C74 C75 C76 C77 C80 C82 C83 C84 C85 C88 C89 C90 C92 C94 C99 C100 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C117 C118 C119 C120 C121 C122 C123 C124 C125 C126 C129 C130 C133 C134 C137 C138 C139 C140 C143 C144 C145 C146,C0402,C694272
3.9k,R146 R153,R0603,C23018
4.99k,R82,R0603,C23046
5n,C87 C91 C127 C131 C141,C0402,C1538
10k,R1 R43 R44 R49 R52 R60 R61 R62 R63 R74,R0603,C25804
10k,R105,R0402,C25744
10k,R118,R0603,C25804
10k,R237 R258 R281,R0402,C25744
10p,C46,C0603,C1634
10u,C44 C45 C66 C67 C68 C78,C0603,C96446
18k,R112 R126 R162,R0603,C25810
20k,R2 R81,R0603,C4184
20k,R233 R235 R240 R241 R254 R256 R261 R262 R277 R279 R284 R285,R0402,C25765
22k,R77 R79 R80 R143,R0603,C31850
22k,R187 R188 R189 R190 R197 R198 R199 R200 R242 R243 R263 R264 R286 R287,R0402,C25768
22p,C69 C79,C0603,C1653
22u,C4 C5 C6 C7 C8 C9 C12 C13 C96 C97 C98 C101 C102 C103 C104 C105 C106,C0805,C45783
25k,R39 R87,R0402,C25874
25k,R114,R0603,C2828637
25k,R232 R236 R238 R239 R253 R257 R259 R260 R273 R276 R280 R282 R283,R0402,C25874
25k,RV1 RV2 RV3 RV4,RTRIM3296X_J,C111789
27k,R149,R0603,C22967
33k,R27 R29 R32 R34 R37 R42 R47 R72 R111 R117 R119 R120,R0402,C25779
33k,R124 R125,R0603,C4216
33k,R129 R133,R0402,C25779
33k,R163 R165,R0603,C4216
33k,R182 R192 R193 R194 R195 R223 R224 R244 R245 R267 R268,R0402,C25779
33p,C70 C128 C132 C142,C0402,C1562
39k,R38,R0603,C23153
47k,R19 R20 R21 R23,R0603,C25819
47k,R26 R28 R31 R33 R35 R36 R41 R46,R0402,C25792
47k,R54 R55 R56 R57 R58 R59,R0603,C25819
47k,R71 R128 R132,R0402,C25792
47k,R158 R159 R160,R0603,C25819
47k,R166 R167 R168 R169 R170 R173 R174 R175 R176 R178 R179 R180 R181 R227 R228 R229 R230 R248 R249 R250 R251 R271 R272 R274,R0402,C25792
49.9k,R83 R141,R0603,C23184
50k,R25 R75 R107,R0603,C23184
50k,R121 R184 R185 R186 R196 R225 R231,R0402,C25897
50k,R234,R0603,C23184
50k,R246 R252,R0402,C25897
50k,R255,R0603,C23184
50k,R269 R275,R0402,C25897
50k,R278,R0603,C23184
50k,R288 R289,R0402,C25897
51k,R150,R0603,C23196
56k,R137 R147 R148 R152 R154 R157,R0603,C23206
68k,R76 R78 R151,R0603,C23231
82k,R115 R116 R161,R0603,C23254
100R,R191 R201 R226 R247 R270,R0402,C25076
100k,R40 R73 R113 R127,R0603,C25803
100k,R130,R0402,C25741
100k,R135 R136 R138 R155 R156 R164,R0603,C25803
120k,R85 R86 R108 R109 R110 R139 R140 R183,R0603,C25808
200k,R106 R142,R0603,C25811
220R,R172,R0603,C22962
220k,R24,R0603,C22961
510R,R122 R123,R0603,C23193
4043D,IC25,SO16,C40131
ADS1115,IC1,MSOP10,C37593
AS3364D,DA1 DA2 DA4 DA5 DA6,DIL16,C72130
DG408D-JD,IC55 IC56,DIL16,C72130
DG412-J,IC42,DIL16,C72130
DG413-J,IC6 IC9 IC20 IC22,DIL16,C72130
DG413-SPDT-J,IC13 IC14 IC15 IC16 IC24 IC31 IC43,DIL16,C72130
DG413-SPDT-SPST-J,IC59,DIL16,C72130
JUNO-VCF-V1.2BD,IC44,XM8-JUNO-VCF-V1.2H-BOTTOM-DUAL,C97095
LM311D,IC17 IC26 IC28 IC29 IC41,SO08,C12597
MA06-1JC-ANGLED,BUS_IO,MA06-1J,C7501293
MA07-1JC-ANGLED,CV_3 VOICE_CTRL_DIGITAL VOICE_CTRL_PWR,MA07-1J,C225493
MA09-1JC-ANGLED,VOICE_CTRL_ANALOG,MA09-1J,C492417
MA15-1JC-ANGLED,CV_1 CV_2 CV_4,MA15-1J,C247916
MCP9700TT,IC12,SOT23J,C127949
MOOG-VCF-V1.2,IC45,XM8-MOOG-VCF-V1.2H-TOP,C7499334
SVF-V2.0,IC51,XM8-SVF-V2.0R,C7499334
TCA9539PW,IC2 IC21 IC38,TSSOP24,C2687996
TL072JT,IC4 IC5 IC19 IC27 IC32 IC33 IC34 IC36 IC37 IC39 IC40 IC46 IC47 IC48 IC49 IC50 IC52 IC53 IC54 IC58,TSSOP8,C90748
WAVESHAPER-V2.2HR,IC10 IC11,XM8-WAVESHAPER-V2.2HR,C7499337
BITCRUSHER-V1.0_0,IC35-0 IC35-1,BITCRUSHER-V1.0_0,C52711
BUS-MIXER-V1.3_0,IC30-0 IC30-1,BUS-MIXER-V1.3_0,C7499334
RM-NOISE-DIST-V1.1_0,IC23-0 IC23-1,RM-NOISE-DIST-V1.1_0,C7499326
VCO-V2.0_0,IC8-0 IC8-1,VCO-V2.0_0,C7499326
