Designator,Mid X,Mid Y,Layer,Rotation
BUS_IO,160.34,1.27,Top,0
C4,7.94,52.23,Top,180
C5,16.19,52.23,Top,0
C6,4.29,6.03,Top,270
C7,19.69,5.4,Top,90
C8,71.76,73.98,Top,180
C9,77.15,73.98,Top,0
C12,71.76,44.13,Top,180
C13,82.87,47.31,Top,180
C14,104.93,69.85,Top,270
C15,7.3,78.42,Top,270
C16,15.88,80.96,Top,90
C17,114.46,71.12,Top,270
C18,10.32,66.2,Top,270
C19,17.46,63.34,Top,270
C20,61.25,13.02,Top,0
C21,7.46,54.29,Top,270
C22,17.62,56.67,Top,90
C23,61.25,10.48,Top,0
C24,6.19,37.31,Top,0
C25,18.1,35.88,Top,0
C26,10.48,13.34,Top,90
C27,13.49,15.56,Top,180
C28,34.13,71.76,Top,0
C29,34.13,67.31,Top,180
C30,54.45,71.76,Top,0
C31,54.45,67.31,Top,180
C32,34.13,42.55,Top,0
C33,34.13,37.94,Top,180
C34,54.45,42.55,Top,0
C35,54.45,37.94,Top,180
C36,35.4,14.61,Top,0
C37,37.62,7.14,Top,0
C38,52.71,13.49,Top,180
C39,44.77,10.64,Top,180
C40,57.79,14.61,Top,180
C41,57.31,7.14,Top,180
C42,9.84,38.28,Top,270
C43,14.13,34,Top,270
C44,12.22,24.45,Top,0
C45,12.22,21.91,Top,180
C46,98.11,15.24,Top,90
C47,120.49,66.36,Top,270
C48,108.43,71.14,Top,270
C49,114.46,56.69,Top,270
C50,108.27,61.61,Top,270
C51,114.46,66.21,Top,270
C52,130.49,30.48,Top,180
C53,124.94,26.35,Top,0
C54,118.43,17.46,Top,0
C55,113.98,13.18,Top,0
C56,140.18,17.46,Top,180
C57,136.05,13.02,Top,180
C60,147.48,17.78,Top,270
C61,155.1,22.46,Top,270
C62,114.46,61.6,Top,270
C63,120.49,56.67,Top,270
C64,86.84,63.52,Top,270
C65,90.96,59.55,Top,270
C66,142.72,61.28,Top,90
C67,112.71,49.53,Top,90
C68,115.25,49.53,Top,90
C69,138.59,61.28,Top,90
C70,163.67,66.36,Top,180
C72,115.12,17.46,Top,180
C73,109.56,12.86,Top,180
C74,134.33,30.8,Top,180
C75,134.75,26.35,Top,0
C76,134.33,17.46,Top,180
C77,131.92,13.02,Top,180
C78,139.06,28.58,Top,90
C79,134.94,28.58,Top,90
C80,108.9,84.77,Top,0
C82,150.18,45.9,Top,270
C83,145.73,45.86,Top,90
C84,113.96,30.8,Top,0
C85,114.48,26.35,Top,180
C87,163.06,35.08,Top,180
C88,75.72,60.33,Top,0
C89,79.22,60.33,Top,0
C90,26.35,84.77,Top,0
C91,162.43,72.71,Top,180
C92,45.72,84.77,Top,0
C94,55.4,32.7,Top,0
C96,34.37,5.32,Top,90
C97,89.85,29.85,Top,180
C98,89.85,24.77,Top,0
C99,41.91,30.96,Top,0
C100,61.75,30.96,Top,180
C101,107.95,35.88,Top,180
C102,103.82,35.88,Top,180
C103,107.63,50.01,Top,90
C104,102.55,50.01,Top,270
C105,106.05,4.29,Top,180
C106,106.05,7.46,Top,0
C107,160.81,64.45,Top,270
C108,165.1,59.21,Top,270
C109,102.08,80.57,Top,180
C110,100.49,19.53,Top,0
C111,103.98,10.79,Top,180
C112,134.46,63.34,Top,180
C113,129.38,59.21,Top,180
C114,164.47,70.64,Top,180
C115,159.7,31.75,Top,270
C116,164.15,25.72,Top,270
C117,159.7,22.07,Top,270
C118,164.62,12.54,Top,0
C119,163.51,32.86,Top,180
C120,164.15,17.14,Top,270
C121,164.47,52.55,Top,0
C122,33.02,30.96,Top,0
C123,54.93,62.39,Top,0
C124,41.91,60.64,Top,0
C125,61.75,60.64,Top,180
C126,33.02,60.64,Top,0
C127,32.7,57.94,Top,270
C128,44.45,58.58,Top,270
C129,35.24,56.52,Top,0
C130,55.56,56.52,Top,0
C131,30.96,29.05,Top,0
C132,44.45,28.89,Top,270
C133,35.24,26.83,Top,0
C134,53.02,27.15,Top,270
C137,82.23,16.67,Top,270
C138,79.53,29.37,Top,270
C139,79.53,14.13,Top,90
C140,81.28,38.89,Top,270
C141,69.22,35.56,Top,0
C142,77.47,26.83,Top,180
C143,75.41,35.72,Top,270
C144,75.41,20.16,Top,270
C145,79.53,39.37,Top,270
C146,75.41,44.13,Top,90
CV_1,19.37,1.27,Top,0
CV_2,60.01,1.27,Top,0
CV_3,93.03,1.27,Top,-180
CV_4,123.51,1.27,Top,0
D1,102.39,69.53,Top,0
D2,103.66,57.15,Top,0
D3,100.17,57.15,Top,180
D4,98.9,69.53,Top,180
D7,65.56,58.58,Top,270
D8,63.98,58.58,Top,90
D9,65.56,28.89,Top,270
D10,63.98,28.89,Top,90
D11,77.31,10.32,Top,180
D12,77.31,11.91,Top,0
DA1,162.88,61.75,Top,270
DA2,161.93,23.5,Top,270
DA4,43.5,58.58,Top,0
DA5,43.5,28.89,Top,0
DA6,77.47,27.78,Top,270
IC1,100.65,77.31,Top,0
IC2,50.8,82.07,Top,0
IC4,12.07,36.35,Top,0
IC5,47.31,12.7,Top,-90
IC6,58.74,12.38,Top,0
IC9,38.42,12.38,Top,0
IC10,52.39,47.31,Top,180
IC11,52.39,76.52,Top,180
IC12,63.3,11.75,Top,0
IC13,35.88,69.53,Top,0
IC14,56.2,69.53,Top,0
IC15,35.88,40.32,Top,0
IC16,56.2,40.32,Top,0
IC17,111.44,68.74,Top,0
IC19,57.15,28.89,Top,-90
IC20,12.07,37.15,Top,90
IC21,31.43,82.07,Top,0
IC22,12.07,16.83,Top,90
IC24,77.47,62.55,Top,90
IC25,101.28,63.34,Top,270
IC26,111.44,59.21,Top,0
IC27,88.9,61.6,Top,0
IC28,117.48,68.74,Top,0
IC29,117.48,59.21,Top,0
IC31,12.07,66.36,Top,90
IC32,12.07,55.25,Top,90
IC33,161.93,19.84,Top,0
IC34,161.93,28.42,Top,0
IC36,12.07,78.42,Top,90
IC37,162.88,61.75,Top,0
IC38,113.98,82.07,Top,0
IC39,38.26,28.89,Top,-90
IC40,57.15,58.58,Top,-90
IC41,101.76,15.24,Top,0
IC42,147.96,45.09,Top,270
IC43,115.25,28.58,Top,0
IC44,120.33,42.55,Top,-180
IC45,120.33,38.42,Top,0
IC46,38.26,58.58,Top,-90
IC47,131.92,61.28,Top,-90
IC48,77.47,18.57,Top,180
IC49,138.11,15.24,Top,-90
IC50,77.47,33.02,Top,180
IC51,130.49,5.08,Top,0
IC52,116.36,15.24,Top,-90
IC53,77.47,41.75,Top,180
IC54,151.61,19.37,Top,90
IC55,135.57,15.24,Top,0
IC56,115.25,15.24,Top,0
IC58,128.27,28.26,Top,-90
IC59,135.57,28.58,Top,0
LED1,59.05,84.3,Top,90
R1,4.29,40.64,Top,0
R2,12.07,40.96,Top,180
R3,36.51,84.14,Top,0
R4,38.58,83.5,Top,0
R5,36.51,82.87,Top,0
